"Date","Name","dividends","GewinnProz","bestPerformance","worstPerformance","kgv","kuv","kbv","EKQuote","FKQuote"
"2018-08-28","Volkswagen (VW) vz. Aktie","4.86","3.5011771690201843","14.38373138226936","-23.93633687002652","6.330243046357617","0.3115805137231893","0.6603113429124068","21.87","78.08"
"2018-10-01","Volkswagen (VW) vz. Aktie","4.86","4.039346229508199","12.06642986380908","-19.09814323607427","6.732891832229581","0.3313992654888411","0.7023118725246386","21.87","78.08"
"2019-07-15","Volkswagen (VW) vz. Aktie","0","-8.456545560114382","15.33283504860512","-5.479957125658674","6.536667952522255","0.32775037621152864","0.6600179643025297","21.59","78.37"
"2019-08-28","Volkswagen (VW) vz. Aktie","0","-2.800605542735403","7.359757831557778","-12.014224666018281","6.0847813904196695","0.30509265643598027","0.6143902452595985","21.59","78.37"
"2019-10-01","Volkswagen (VW) vz. Aktie","4.86","-9.518855471023626","15.033662267023097","-5.725141631268482","6.519711869436202","0.32690019341948645","0.6583058810940376","21.59","78.37"
"2020-03-31","Volkswagen (VW) vz. Aktie","4.86","127.87346978185963","22.52293540789916","-42.410525174417316","4.013523516153268","0.21200094451940632","0.4397974560573004","21.08","78.56"
"2020-07-15","Volkswagen (VW) vz. Aktie","4.86","52.45820338741278","61.88074410140174","-23.91116809160915","5.302780015026295","0.28010160330184936","0.5810727534680772","21.08","78.56"
"2020-10-01","Volkswagen (VW) vz. Aktie","9.72","51.45196459898812","54.01377020689577","-27.608883083033998","5.045079000751315","0.26648940987379954","0.5528341621043099","21.08","78.56"
"2020-12-28","Volkswagen (VW) vz. Aktie","4.86","20.581305334554383","75.18348653154199","-17.658477950442474","5.7385422614575505","0.303119285260735","0.6288230971884905","21.08","78.56"
"2016-03-31","BMW Vz.","3.22","9.649868783095101","20.638735554988475","-19.78535767943179","7.243299175257732","0.5004273646723647","1.085096555984556","23.35","76.38"
"2016-12-28","BMW Vz.","3.52","6.871482272857919","28.975774437922787","-5.813202128241723","7.516495257731959","0.5193020227920228","1.1260232277992277","23.35","76.38"
"2017-08-28","BMW Vz.","4.02","10.267025707083034","9.730490441867756","-11.230827877181238","6.7014353110047855","0.4884564344005022","0.9768447342725625","23.62","76.07"
"2017-12-28","BMW Vz.","4.02","-11.129037335240934","10.566207303221752","-5.691465403618523","7.1196174162679435","0.5189370300620771","1.0378016738736227","23.62","76.07"
"2018-08-28","BMW Vz.","3.52","-29.754092749484673","8.685967592753308","-11.27273090909091","5.57926806402439","0.487447539455284","0.8895369668246444","26.59","73.05"
"2018-10-01","BMW Vz.","3.52","-20.907763356906447","1.410549410855233","-17.212117575757567","5.205792911585366","0.45481789305453824","0.829991529955037","26.59","73.05"
"2019-07-15","BMW Vz.","2.52","-17.034424817849086","7.088846612898059","-23.134322515644058","5.235674861367837","0.382150580140313","0.6477246970043449","27.54","72.2"
"2019-08-28","BMW Vz.","2.52","2.296446668206812","0.7572591342604351","-35.00677890122573","4.426987245841035","0.3231246762007555","0.5476789618111138","27.54","72.2"
"2019-10-01","BMW Vz.","2.52","-1.5049485148514783","6.2263334828285055","-26.652140207760066","4.66728280961183","0.34066378845116024","0.5774068145437915","27.54","72.2"
"2020-03-31","BMW Vz.","2.52","79.69866700715016","20.492307692307676","-42.28444929357257","5.242302543507362","0.24730028418061256","0.43491781430475335","24.55","75.21"
"2020-07-15","BMW Vz.","3.84","77.69783498201438","36.86153846153846","-25.054757373370094","5.954484605087014","0.2808967477107673","0.49400266548200794","24.55","75.21"
"2020-10-01","BMW Vz.","3.84","51.291818058199524","45.29231076923077","-20.43807482520892","6.321285274431058","0.29820019576886647","0.5244335961794758","24.55","75.21"
"2020-12-28","BMW Vz.","3.84","38.4919239049924","71.38461846153845","-3.2986060173127107","7.456492771084338","0.3517524534259552","0.6186139604620169","24.55","75.21"
"2016-03-31","Allianz","7.3","26.58271969043832","12.959299574256033","-15.763111651675521","9.817994299450548","0.623228831146183","1.0345950423391475","7.41","92.25"
"2016-12-28","Allianz","7.6","28.420721039158103","31.208051959934192","-5.212124848484856","10.741757829670329","0.6818676984784409","1.1319388724035608","7.41","92.25"
"2017-08-28","Allianz","8","7.725389873987654","40.363784992967155","-3.073222776914286","11.978203830911493","0.7929602361171841","1.230743169324737","7.59","92.07"
"2017-12-28","Allianz","8","-5.2315658473480005","24.476650563607084","-5.223145813334352","12.764200792602377","0.8449934411893311","1.311503223617238","7.59","92.07"
"2018-08-28","Allianz","9","9.852693158343861","9.057041751041183","-8.93803110571081","12.293963320209974","0.7700464469195677","1.258294163868368","6.97","92.7"
"2018-10-01","Allianz","9","14.27316000544707","12.596041107170407","-5.982988092345087","12.692913517060367","0.7950351485758907","1.2991269442578912","6.97","92.7"
"2019-07-15","Allianz","9.6","-9.510460912289668","26.365008100255395","-0.275035991978978","12.481354159495124","0.9286293720920306","1.5080410578122836","6.6","93.13"
"2019-08-28","Allianz","9.6","-0.7621206923338886","14.323886168125322","-9.777670220793123","11.2920256454389","0.8401417467025227","1.3643422085124082","6.6","93.13"
"2019-10-01","Allianz","9.6","-18.990808502841666","23.17030557225128","-2.796237069802532","12.165806253585773","0.9051521876467323","1.469915451268543","6.6","93.13"
"2020-03-31","Allianz","9.6","44.4734802245831","31.83193697478992","-32.37930818965516","8.300529365079367","0.6006815675613585","0.8843790799932354","7.02","92.66"
"2020-07-15","Allianz","9.6","17.80412575574404","57.36134033613445","-19.284484913793097","9.907936243386244","0.7170042309606769","1.0556400868143638","7.02","92.66"
"2020-10-01","Allianz","9.6","26.341109781648598","36.28570840336134","-30.094830603448276","8.580952010582012","0.6209748171688938","0.9142566830148261","7.02","92.66"
"2020-12-28","Allianz","9.6","7.971366002822322","70.25210588235295","-12.67241120689655","10.719577037037038","0.7757399624765479","1.1421162748745703","7.02","92.66"
"2017-08-28","SAP","1.4","20.478092668823972","15.835973936496517","-8.584807670859684","28.898025657894735","4.774456413043478","4.63833146779303","59.57","40.38"
